Date,month,year,Block,Latitude,Longitude,Street,Trap,Tmax,Tmin,Tavg,DewPoint,dew_point_depression,WetBulb,wet_bulb_depression,Heat,Cool,relative_humidity,Sunrise,Sunset,daytime,Species,WnvPresent,PrecipTotal,StnPressure,ResultSpeed,ResultDir,VCTS,RA,HZ,BR,FG,DZ,TSRA,TS
2007-05-29,5,2007,41,41.95469,-87.800991, N OAK PARK AVE,T002,88,60,74.0,58,16.0,65.0,9.0,0.0,9.0,57,0 days 04:21:00.000000000,0 days 19:17:00.000000000,0 days 14:56:00.000000000,CULEX PIPIENS/RESTUANS,0.0,0.0,29.39,5.8,18,0,0,1,1,0,0,0,0
2007-05-29,5,2007,41,41.95469,-87.800991, N OAK PARK AVE,T002,88,60,74.0,58,16.0,65.0,9.0,0.0,9.0,57,0 days 04:21:00.000000000,0 days 19:17:00.000000000,0 days 14:56:00.000000000,CULEX RESTUANS,0.0,0.0,29.39,5.8,18,0,0,1,1,0,0,0,0
2007-05-29,5,2007,62,41.994991,-87.769279, N MANDELL AVE,T007,88,60,74.0,58,16.0,65.0,9.0,0.0,9.0,57,0 days 04:21:00.000000000,0 days 19:17:00.000000000,0 days 14:56:00.000000000,CULEX RESTUANS,0.0,0.0,29.39,5.8,18,0,0,1,1,0,0,0,0
2007-05-29,5,2007,79,41.974089,-87.824812, W FOSTER AVE,T015,88,60,74.0,58,16.0,65.0,9.0,0.0,9.0,57,0 days 04:21:00.000000000,0 days 19:17:00.000000000,0 days 14:56:00.000000000,CULEX PIPIENS/RESTUANS,0.0,0.0,29.39,5.8,18,0,0,1,1,0,0,0,0
2007-05-29,5,2007,79,41.974089,-87.824812, W FOSTER AVE,T015,88,60,74.0,58,16.0,65.0,9.0,0.0,9.0,57,0 days 04:21:00.000000000,0 days 19:17:00.000000000,0 days 14:56:00.000000000,CULEX RESTUANS,0.0,0.0,29.39,5.8,18,0,0,1,1,0,0,0,0
2007-05-29,5,2007,15,41.9216,-87.666455, W WEBSTER AVE,T045,88,60,74.0,58,16.0,65.0,9.0,0.0,9.0,57,0 days 04:21:00.000000000,0 days 19:17:00.000000000,0 days 14:56:00.000000000,CULEX RESTUANS,0.0,0.0,29.39,5.8,18,0,0,1,1,0,0,0,0
2007-05-29,5,2007,25,41.891118,-87.65449100000001, W GRAND AVE,T046,88,60,74.0,58,16.0,65.0,9.0,0.0,9.0,57,0 days 04:21:00.000000000,0 days 19:17:00.000000000,0 days 14:56:00.000000000,CULEX RESTUANS,0.0,0.0,29.39,5.8,18,0,0,1,1,0,0,0,0
2007-05-29,5,2007,11,41.867108,-87.654224, W ROOSEVELT,T048,88,60,74.0,58,16.0,65.0,9.0,0.0,9.0,57,0 days 04:21:00.000000000,0 days 19:17:00.000000000,0 days 14:56:00.000000000,CULEX PIPIENS/RESTUANS,0.0,0.0,29.39,5.8,18,0,0,1,1,0,0,0,0
2007-05-29,5,2007,11,41.867108,-87.654224, W ROOSEVELT,T048,88,60,74.0,58,16.0,65.0,9.0,0.0,9.0,57,0 days 04:21:00.000000000,0 days 19:17:00.000000000,0 days 14:56:00.000000000,CULEX RESTUANS,0.0,0.0,29.39,5.8,18,0,0,1,1,0,0,0,0
2007-05-29,5,2007,11,41.896282,-87.655232, W CHICAGO,T049,88,60,74.0,58,16.0,65.0,9.0,0.0,9.0,57,0 days 04:21:00.000000000,0 days 19:17:00.000000000,0 days 14:56:00.000000000,CULEX RESTUANS,0.0,0.0,29.39,5.8,18,0,0,1,1,0,0,0,0
2007-05-29,5,2007,21,41.919343,-87.694259, N STAVE ST,T050,88,60,74.0,58,16.0,65.0,9.0,0.0,9.0,57,0 days 04:21:00.000000000,0 days 19:17:00.000000000,0 days 14:56:00.000000000,CULEX PIPIENS/RESTUANS,0.0,0.0,29.39,5.8,18,0,0,1,1,0,0,0,0
2007-05-29,5,2007,22,41.921965,-87.632085, N CANNON DR,T054,88,60,74.0,58,16.0,65.0,9.0,0.0,9.0,57,0 days 04:21:00.000000000,0 days 19:17:00.000000000,0 days 14:56:00.000000000,CULEX PIPIENS/RESTUANS,0.0,0.0,29.39,5.8,18,0,0,1,1,0,0,0,0
2007-05-29,5,2007,22,41.921965,-87.632085, N CANNON DR,T054,88,60,74.0,58,16.0,65.0,9.0,0.0,9.0,57,0 days 04:21:00.000000000,0 days 19:17:00.000000000,0 days 14:56:00.000000000,CULEX RESTUANS,0.0,0.0,29.39,5.8,18,0,0,1,1,0,0,0,0
2007-05-29,5,2007,22,41.688324,-87.676709, W 113TH ST,T086,88,60,74.0,58,16.0,65.0,9.0,0.0,9.0,57,0 days 04:21:00.000000000,0 days 19:17:00.000000000,0 days 14:56:00.000000000,CULEX PIPIENS/RESTUANS,0.0,0.0,29.39,5.8,18,0,0,1,1,0,0,0,0
2007-05-29,5,2007,22,41.688324,-87.676709, W 113TH ST,T086,88,60,74.0,58,16.0,65.0,9.0,0.0,9.0,57,0 days 04:21:00.000000000,0 days 19:17:00.000000000,0 days 14:56:00.000000000,CULEX RESTUANS,0.0,0.0,29.39,5.8,18,0,0,1,1,0,0,0,0
2007-05-29,5,2007,11,41.862292,-87.64886, S PEORIA ST,T091,88,60,74.0,58,16.0,65.0,9.0,0.0,9.0,57,0 days 04:21:00.000000000,0 days 19:17:00.000000000,0 days 14:56:00.000000000,CULEX RESTUANS,0.0,0.0,29.39,5.8,18,0,0,1,1,0,0,0,0
2007-05-29,5,2007,17,41.720848,-87.666014, W 95TH ST,T094,88,60,74.0,58,16.0,65.0,9.0,0.0,9.0,57,0 days 04:21:00.000000000,0 days 19:17:00.000000000,0 days 14:56:00.000000000,CULEX RESTUANS,0.0,0.0,29.39,5.8,18,0,0,1,1,0,0,0,0
2007-05-29,5,2007,22,41.731922,-87.677512, W 89TH ST,T096,88,60,74.0,58,16.0,65.0,9.0,0.0,9.0,57,0 days 04:21:00.000000000,0 days 19:17:00.000000000,0 days 14:56:00.000000000,CULEX RESTUANS,0.0,0.0,29.39,5.8,18,0,0,1,1,0,0,0,0
2007-05-29,5,2007,22,41.731922,-87.677512, W 89TH ST,T096,88,60,74.0,58,16.0,65.0,9.0,0.0,9.0,57,0 days 04:21:00.000000000,0 days 19:17:00.000000000,0 days 14:56:00.000000000,CULEX PIPIENS,0.0,0.0,29.39,5.8,18,0,0,1,1,0,0,0,0
2007-05-29,5,2007,53,41.891126,-87.61156, N STREETER DR,T129,88,60,74.0,58,16.0,65.0,9.0,0.0,9.0,57,0 days 04:21:00.000000000,0 days 19:17:00.000000000,0 days 14:56:00.000000000,CULEX PIPIENS/RESTUANS,0.0,0.0,29.39,5.8,18,0,0,1,1,0,0,0,0
2007-05-29,5,2007,53,41.891126,-87.61156, N STREETER DR,T129,88,60,74.0,58,16.0,65.0,9.0,0.0,9.0,57,0 days 04:21:00.000000000,0 days 19:17:00.000000000,0 days 14:56:00.000000000,CULEX RESTUANS,0.0,0.0,29.39,5.8,18,0,0,1,1,0,0,0,0
2007-05-29,5,2007,65,41.999128999999996,-87.795585, N OAK PARK AVE,T143,88,60,74.0,58,16.0,65.0,9.0,0.0,9.0,57,0 days 04:21:00.000000000,0 days 19:17:00.000000000,0 days 14:56:00.000000000,CULEX PIPIENS/RESTUANS,0.0,0.0,29.39,5.8,18,0,0,1,1,0,0,0,0
2007-05-29,5,2007,75,42.01743,-87.68776899999999, N OAKLEY AVE,T148,88,60,74.0,58,16.0,65.0,9.0,0.0,9.0,57,0 days 04:21:00.000000000,0 days 19:17:00.000000000,0 days 14:56:00.000000000,CULEX PIPIENS/RESTUANS,0.0,0.0,29.39,5.8,18,0,0,1,1,0,0,0,0
2007-05-29,5,2007,15,41.907645,-87.760886, N LONG AVE,T153,88,60,74.0,58,16.0,65.0,9.0,0.0,9.0,57,0 days 04:21:00.000000000,0 days 19:17:00.000000000,0 days 14:56:00.000000000,CULEX RESTUANS,0.0,0.0,29.39,5.8,18,0,0,1,1,0,0,0,0
2007-05-29,5,2007,89,41.732984,-87.649642, S CARPENTER ST,T159,88,60,74.0,58,16.0,65.0,9.0,0.0,9.0,57,0 days 04:21:00.000000000,0 days 19:17:00.000000000,0 days 14:56:00.000000000,CULEX RESTUANS,0.0,0.0,29.39,5.8,18,0,0,1,1,0,0,0,0
2007-06-05,6,2007,41,41.95469,-87.800991, N OAK PARK AVE,T002,64,47,56.0,48,8.0,51.0,5.0,9.0,0.0,74,0 days 04:17:00.000000000,0 days 19:23:00.000000000,0 days 15:06:00.000000000,CULEX PIPIENS/RESTUANS,0.0,0.42,29.1,5.2,5,0,1,0,1,0,0,0,0
2007-06-05,6,2007,41,41.95469,-87.800991, N OAK PARK AVE,T002,64,47,56.0,48,8.0,51.0,5.0,9.0,0.0,74,0 days 04:17:00.000000000,0 days 19:23:00.000000000,0 days 15:06:00.000000000,CULEX RESTUANS,0.0,0.42,29.1,5.2,5,0,1,0,1,0,0,0,0
2007-06-05,6,2007,41,41.95469,-87.800991, N OAK PARK AVE,T002,64,47,56.0,48,8.0,51.0,5.0,9.0,0.0,74,0 days 04:17:00.000000000,0 days 19:23:00.000000000,0 days 15:06:00.000000000,CULEX PIPIENS,0.0,0.42,29.1,5.2,5,0,1,0,1,0,0,0,0
2007-06-05,6,2007,79,41.974089,-87.824812, W FOSTER AVE,T015,64,47,56.0,48,8.0,51.0,5.0,9.0,0.0,74,0 days 04:17:00.000000000,0 days 19:23:00.000000000,0 days 15:06:00.000000000,CULEX PIPIENS/RESTUANS,0.0,0.42,29.1,5.2,5,0,1,0,1,0,0,0,0
