,Address,AddressAccuracy,AddressNumberAndStreet,Block,Date,Latitude,Longitude,NumMosquitos,Species,Street,Time,Trap,WnvPresent,geometry,spray
0,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",9.0,"4100  N OAK PARK AVE, Chicago, IL",41.0,2007-05-29,41.9547,-87.801,1.0,CULEX PIPIENS/RESTUANS, N OAK PARK AVE,,T002,0.0,POINT (-87.800991 41.95469),no_spray
1,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",9.0,"4100  N OAK PARK AVE, Chicago, IL",41.0,2007-05-29,41.9547,-87.801,1.0,CULEX RESTUANS, N OAK PARK AVE,,T002,0.0,POINT (-87.800991 41.95469),no_spray
2,"6200 North Mandell Avenue, Chicago, IL 60646, USA",9.0,"6200  N MANDELL AVE, Chicago, IL",62.0,2007-05-29,41.995,-87.7693,1.0,CULEX RESTUANS, N MANDELL AVE,,T007,0.0,POINT (-87.769279 41.994991),no_spray
3,"7900 West Foster Avenue, Chicago, IL 60656, USA",8.0,"7900  W FOSTER AVE, Chicago, IL",79.0,2007-05-29,41.9741,-87.8248,1.0,CULEX PIPIENS/RESTUANS, W FOSTER AVE,,T015,0.0,POINT (-87.82481199999999 41.974089),no_spray
4,"7900 West Foster Avenue, Chicago, IL 60656, USA",8.0,"7900  W FOSTER AVE, Chicago, IL",79.0,2007-05-29,41.9741,-87.8248,4.0,CULEX RESTUANS, W FOSTER AVE,,T015,0.0,POINT (-87.82481199999999 41.974089),no_spray
5,"1500 West Webster Avenue, Chicago, IL 60614, USA",8.0,"1500  W WEBSTER AVE, Chicago, IL",15.0,2007-05-29,41.9216,-87.6665,2.0,CULEX RESTUANS, W WEBSTER AVE,,T045,0.0,POINT (-87.666455 41.9216),no_spray
6,"2500 West Grand Avenue, Chicago, IL 60654, USA",8.0,"2500  W GRAND AVE, Chicago, IL",25.0,2007-05-29,41.8911,-87.6545,1.0,CULEX RESTUANS, W GRAND AVE,,T046,0.0,POINT (-87.65449100000001 41.891118),no_spray
7,"1100 Roosevelt Road, Chicago, IL 60608, USA",8.0,"1100  W ROOSEVELT, Chicago, IL",11.0,2007-05-29,41.8671,-87.6542,1.0,CULEX PIPIENS/RESTUANS, W ROOSEVELT,,T048,0.0,POINT (-87.654224 41.867108),no_spray
8,"1100 Roosevelt Road, Chicago, IL 60608, USA",8.0,"1100  W ROOSEVELT, Chicago, IL",11.0,2007-05-29,41.8671,-87.6542,2.0,CULEX RESTUANS, W ROOSEVELT,,T048,0.0,POINT (-87.654224 41.867108),no_spray
9,"1100 West Chicago Avenue, Chicago, IL 60642, USA",8.0,"1100  W CHICAGO, Chicago, IL",11.0,2007-05-29,41.8963,-87.6552,1.0,CULEX RESTUANS, W CHICAGO,,T049,0.0,POINT (-87.655232 41.896282),no_spray
10,"2100 North Stave Street, Chicago, IL 60647, USA",8.0,"2100  N STAVE ST, Chicago, IL",21.0,2007-05-29,41.9193,-87.6943,1.0,CULEX PIPIENS/RESTUANS, N STAVE ST,,T050,0.0,POINT (-87.694259 41.919343),no_spray
11,"2200 North Cannon Drive, Chicago, IL 60614, USA",8.0,"2200  N CANNON DR, Chicago, IL",22.0,2007-05-29,41.922,-87.6321,2.0,CULEX PIPIENS/RESTUANS, N CANNON DR,,T054,0.0,POINT (-87.632085 41.921965),no_spray
12,"2200 North Cannon Drive, Chicago, IL 60614, USA",8.0,"2200  N CANNON DR, Chicago, IL",22.0,2007-05-29,41.922,-87.6321,3.0,CULEX RESTUANS, N CANNON DR,,T054,0.0,POINT (-87.632085 41.921965),no_spray
13,"2200 West 113th Street, Chicago, IL 60643, USA",8.0,"2200  W 113TH ST, Chicago, IL",22.0,2007-05-29,41.6883,-87.6767,1.0,CULEX PIPIENS/RESTUANS, W 113TH ST,,T086,0.0,POINT (-87.676709 41.688324),no_spray
14,"2200 West 113th Street, Chicago, IL 60643, USA",8.0,"2200  W 113TH ST, Chicago, IL",22.0,2007-05-29,41.6883,-87.6767,1.0,CULEX RESTUANS, W 113TH ST,,T086,0.0,POINT (-87.676709 41.688324),no_spray
15,"1100 South Peoria Street, Chicago, IL 60608, USA",8.0,"1100  S PEORIA ST, Chicago, IL",11.0,2007-05-29,41.8623,-87.6489,1.0,CULEX RESTUANS, S PEORIA ST,,T091,0.0,POINT (-87.64886 41.862292),no_spray
16,"1700 West 95th Street, Chicago, IL 60643, USA",9.0,"1700  W 95TH ST, Chicago, IL",17.0,2007-05-29,41.7208,-87.666,3.0,CULEX RESTUANS, W 95TH ST,,T094,0.0,POINT (-87.666014 41.720848),no_spray
17,"2200 West 89th Street, Chicago, IL 60643, USA",8.0,"2200  W 89TH ST, Chicago, IL",22.0,2007-05-29,41.7319,-87.6775,5.0,CULEX RESTUANS, W 89TH ST,,T096,0.0,POINT (-87.67751199999999 41.731922),no_spray
18,"2200 West 89th Street, Chicago, IL 60643, USA",8.0,"2200  W 89TH ST, Chicago, IL",22.0,2007-05-29,41.7319,-87.6775,1.0,CULEX PIPIENS, W 89TH ST,,T096,0.0,POINT (-87.67751199999999 41.731922),no_spray
19,"North Streeter Drive, Chicago, IL 60611, USA",5.0,"5300  N STREETER DR, Chicago, IL",53.0,2007-05-29,41.8911,-87.6116,1.0,CULEX PIPIENS/RESTUANS, N STREETER DR,,T129,0.0,POINT (-87.61156 41.891126),no_spray
20,"North Streeter Drive, Chicago, IL 60611, USA",5.0,"5300  N STREETER DR, Chicago, IL",53.0,2007-05-29,41.8911,-87.6116,2.0,CULEX RESTUANS, N STREETER DR,,T129,0.0,POINT (-87.61156 41.891126),no_spray
21,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",8.0,"6500  N OAK PARK AVE, Chicago, IL",65.0,2007-05-29,41.9991,-87.7956,1.0,CULEX PIPIENS/RESTUANS, N OAK PARK AVE,,T143,0.0,POINT (-87.795585 41.999129),no_spray
22,"7500 North Oakley Avenue, Chicago, IL 60645, USA",8.0,"7500  N OAKLEY AVE, Chicago, IL",75.0,2007-05-29,42.0174,-87.6878,1.0,CULEX PIPIENS/RESTUANS, N OAKLEY AVE,,T148,0.0,POINT (-87.68776899999999 42.01743),no_spray
23,"1500 North Long Avenue, Chicago, IL 60651, USA",8.0,"1500  N LONG AVE, Chicago, IL",15.0,2007-05-29,41.9076,-87.7609,1.0,CULEX RESTUANS, N LONG AVE,,T153,0.0,POINT (-87.760886 41.907645),no_spray
24,"8900 South Carpenter Street, Chicago, IL 60620, USA",8.0,"8900  S CARPENTER ST, Chicago, IL",89.0,2007-05-29,41.733,-87.6496,1.0,CULEX RESTUANS, S CARPENTER ST,,T159,0.0,POINT (-87.649642 41.732984),no_spray
25,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",9.0,"4100  N OAK PARK AVE, Chicago, IL",41.0,2007-06-05,41.9547,-87.801,3.0,CULEX PIPIENS/RESTUANS, N OAK PARK AVE,,T002,0.0,POINT (-87.800991 41.95469),no_spray
26,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",9.0,"4100  N OAK PARK AVE, Chicago, IL",41.0,2007-06-05,41.9547,-87.801,5.0,CULEX RESTUANS, N OAK PARK AVE,,T002,0.0,POINT (-87.800991 41.95469),no_spray
27,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",9.0,"4100  N OAK PARK AVE, Chicago, IL",41.0,2007-06-05,41.9547,-87.801,1.0,CULEX PIPIENS, N OAK PARK AVE,,T002,0.0,POINT (-87.800991 41.95469),no_spray
