Date,PrecipTotal,StnPressure,ResultSpeed,ResultDir,VCTS,RA,HZ,BR,FG,DZ,TSRA,TS
2007-05-01,0.0,29.1,1.7,27,0,0,0,0,0,0,0,0
2007-05-02,0.0,29.38,13.0,4,0,0,0,1,0,0,0,0
2007-05-03,0.0,29.39,11.7,7,0,0,0,0,0,0,0,0
2007-05-04,0.005,29.31,10.4,8,0,1,0,0,0,0,0,0
2007-05-05,0.005,29.4,11.7,7,0,0,0,0,0,0,0,0
2007-05-06,0.0,29.57,14.4,11,0,0,0,0,0,0,0,0
2007-05-07,0.005,29.38,8.6,18,0,1,0,0,0,0,0,0
2007-05-08,0.0,29.29,2.7,11,0,0,0,1,0,0,0,0
2007-05-09,0.13,29.21,3.9,9,0,0,1,1,0,0,0,0
2007-05-10,0.0,29.2,0.7,17,0,0,0,1,0,0,0,0
2007-05-11,0.0,29.33,11.3,3,0,0,0,0,0,0,0,0
2007-05-12,0.0,29.49,12.4,3,0,0,0,0,0,0,0,0
2007-05-13,0.0,29.49,6.6,14,0,0,0,0,0,0,0,0
2007-05-14,0.0,29.23,16.9,21,0,0,0,0,0,0,0,0
2007-05-15,0.38,29.13,8.1,27,0,1,0,1,0,0,0,0
2007-05-16,0.14,29.33,7.8,36,0,1,0,1,0,0,0,0
2007-05-17,0.0,29.55,10.5,3,0,0,0,0,0,0,0,0
2007-05-18,0.0,29.53,5.4,25,0,0,0,0,0,0,0,0
2007-05-19,0.0,29.34,11.1,24,0,0,0,0,0,0,0,0
2007-05-20,0.07,29.38,10.4,4,1,1,0,0,0,0,0,0
2007-05-21,0.0,29.33,6.3,11,0,0,0,0,0,0,0,0
2007-05-22,0.0,29.34,10.0,18,0,0,0,0,0,0,0,0
2007-05-23,0.0,29.39,11.4,19,0,0,0,0,0,0,0,0
2007-05-24,0.02,29.41,14.9,21,0,1,1,0,0,0,0,0
2007-05-25,0.005,29.51,4.9,5,0,0,0,0,0,0,0,0
2007-05-26,1.01,29.36,2.8,17,0,1,1,1,0,0,1,0
2007-05-27,0.04,29.34,8.9,26,0,1,0,1,0,0,0,0
2007-05-28,0.005,29.43,4.8,10,0,1,0,0,0,0,0,0
2007-05-29,0.0,29.39,5.8,18,0,0,1,1,0,0,0,0
2007-05-30,0.0,29.31,10.3,19,0,0,1,0,0,0,0,0
2007-05-31,0.01,29.28,9.3,19,0,1,1,0,0,0,0,0
